,HeLA_median,iPSC_median,Organoid_median,MEAN,SD
NDUFB2,95.5,124.5,102.0,107.33333333333333,15.217862311551295
NDUFB3,88.0,110.0,90.5,96.16666666666667,12.045054310103103
NDUFB4,82.0,114.5,114.0,103.5,18.621224449536072
NDUFB5,58.0,101.0,102.0,87.0,25.11971337416094
NDUFB6,82.0,118.5,90.5,97.0,19.09842925478428
NDUFB7,62.0,101.0,87.5,83.5,19.80530232033836
NDUFB9,73.0,106.0,108.5,95.83333333333333,19.81371578814366
NDUFC1,100.0,112.0,118.0,110.0,9.16515138991168
NDUFS1,97.5,130.0,103.0,110.16666666666667,17.39492263085218
NDUFS2,93.5,103.0,124.0,106.83333333333333,15.607156478145958
NDUFS3,95.0,,167.0,131.0,50.91168824543142
NDUFS4,54.5,102.5,97.0,84.66666666666667,26.26943724812797
NDUFS5,82.5,109.0,116.0,102.5,17.67059704707229
NDUFS6,73.5,59.5,131.0,88.0,37.89129187557479
NDUFS7,85.0,133.0,104.0,107.33333333333333,24.172987679087857
NDUFS8,82.0,99.5,153.0,111.5,36.98986347636336
NDUFV1,86.0,104.5,105.5,98.66666666666667,10.981044273352754
NDUFV3,73.0,117.0,123.0,104.33333333333333,27.300793639257694
NEAT1,,,328.5,328.5,
NECAB3,103.0,,,103.0,
NECAP1,86.5,128.0,170.0,128.16666666666666,41.750249500252494
NECAP2,102.5,91.0,116.5,103.33333333333333,12.770408502993682
NEDD4L,,114.0,231.0,172.5,82.73149339882606
NEFL,,85.5,96.0,90.75,7.424621202458749
NEFM,,,103.0,103.0,
NEK1,,,251.0,251.0,
NEK2,105.0,,125.0,115.0,14.142135623730951
NEK3,,103.0,199.0,151.0,67.88225099390856
NEK6,98.0,,109.5,103.75,8.131727983645296
NEK7,,,159.0,159.0,
NEK9,116.0,,136.5,126.25,14.495689014324224
NELFCD,84.5,,110.0,97.25,18.031222920256962
NELFE,76.0,61.0,84.0,73.66666666666667,11.67618659209133
NELL2,,123.0,,123.0,
NEMF,,,219.0,219.0,
NEMP1,,124.0,,124.0,
NENF,76.0,,,76.0,
NEO1,,,188.5,188.5,
NET1,,,106.0,106.0,
NETO2,,,182.0,182.0,
NEU1,97.0,117.0,107.0,107.0,10.0
NEURL1,98.0,,,98.0,
NF1,,,134.0,134.0,
NFATC2IP,105.5,,,105.5,
NFE2,105.0,,,105.0,
NFE2L1,125.0,,,125.0,
NFE2L2,,,122.0,122.0,
NFE2L3,,80.0,,80.0,
NFIL3,107.0,,,107.0,
NFKBIA,88.0,,103.0,95.5,10.606601717798213
NFU1,83.0,95.0,110.5,96.16666666666667,13.787071238422369
NFX1,66.0,,206.0,136.0,98.99494936611666
NFYB,,106.0,,106.0,
NFYC,116.0,144.0,144.0,134.66666666666666,16.165807537309522
NGDN,67.5,97.0,169.0,111.16666666666667,52.211907964882236
NGFRAP1,82.5,112.0,115.5,103.33333333333333,18.12686771986085
NGLY1,56.0,82.0,104.0,80.66666666666667,24.027761721253466
NHLRC2,,,208.0,208.0,
NHLRC3,,,160.0,160.0,
NHP2,85.0,126.0,114.0,108.33333333333333,21.07921567168317
NID1,,130.0,116.5,123.25,9.545941546018392
NID2,,,144.0,144.0,
NIF3L1,90.0,108.0,140.0,112.66666666666667,25.32455988429677
NIFK,63.0,100.0,70.5,77.83333333333333,19.559737557884905
NIFK-AS1,,,156.0,156.0,
NIN,,,163.0,163.0,
NINJ1,84.0,,,84.0,
NINJ2,75.5,,,75.5,
NINL,,,211.0,211.0,
NIP7,81.5,130.0,116.0,109.16666666666667,24.961637232628256
NIPA1,,,180.0,180.0,
NIPA2,113.0,101.0,197.5,137.16666666666666,52.59356741402254
NIPAL3,102.0,,,102.0,
NIPBL,,,167.0,167.0,
NIPSNAP3A,32.0,85.0,129.0,82.0,48.569537778323564
NISCH,154.0,,282.0,218.0,90.50966799187809
NIT1,125.5,108.0,,116.75,12.374368670764582
NIT2,79.0,121.0,114.0,104.66666666666667,22.50185177565023
NKAP,63.0,,80.0,71.5,12.020815280171307
NKIRAS1,,,135.0,135.0,
NKIRAS2,97.0,110.0,134.0,113.66666666666667,18.77054430040145
NKRF,,,169.0,169.0,
NKTR,,,276.0,276.0,
NLE1,80.0,91.0,,85.5,7.7781745930520225
NLGN4X,,93.0,122.0,107.5,20.506096654409877
NLN,,121.0,143.5,132.25,15.90990257669732
NMD3,,93.0,107.5,100.25,10.253048327204938
NME1,87.0,,,87.0,
NME3,83.5,154.0,,118.75,49.8510280736516
NME4,91.0,112.0,89.5,97.5,12.579745625409124
NME6,87.5,140.0,80.0,102.5,32.69174207655505
NME7,82.0,,106.0,94.0,16.97056274847714
NMI,75.5,,,75.5,
NMRAL1,84.5,103.0,,93.75,13.08147545195113
NMRK1,69.0,,,69.0,
NMRK2,,125.0,,125.0,
NMT1,66.5,90.0,104.0,86.83333333333333,18.94949427645322
NMU,,103.0,,103.0,
NNAT,,,108.5,108.5,
NNT,99.5,,145.0,122.25,32.17335854398791
NOB1,91.5,73.0,71.0,78.5,11.302654555457314
NOC2L,98.0,,,98.0,
NOC4L,96.0,,,96.0,
NODAL,,73.0,,73.0,
NOL10,,,67.0,67.0,
NOL11,74.0,105.0,153.0,110.66666666666667,39.80368492154129
NOL4L,,,185.0,185.0,
NOL7,61.0,,,61.0,
NOL8,,,89.5,89.5,
NOLC1,98.0,121.5,,109.75,16.617009357883866
NOMO1,99.5,90.0,122.5,104.0,16.710774967068403
NONO,92.5,110.0,132.0,111.5,19.792675412889487
NOP10,88.0,119.0,95.5,100.83333333333333,16.17353805861084
