,HeLA_median,iPSC_median,Organoid_median,MEAN,SD
DDX59,75.0,,,75.0,
DDX60L,75.0,,,75.0,
DECR1,83.5,74.0,99.0,85.5,12.619429464123963
DEDD,114.5,117.0,134.0,121.83333333333333,10.610529361598003
DEF8,64.0,95.0,125.0,94.66666666666667,30.501366089625122
DEFB1,91.5,,,91.5,
DEGS1,85.0,103.0,141.5,109.83333333333333,28.863183007654115
DEK,89.5,135.0,163.0,129.16666666666666,37.095597223030836
DENND1A,73.5,,,73.5,
DENND4C,,,199.5,199.5,
DENND5A,,,194.0,194.0,
DENND5B,,,148.5,148.5,
DENR,81.5,98.0,124.0,101.16666666666667,21.42623003081348
DEPDC1B,,96.0,124.5,110.25,20.152543263816604
DEPDC7,,,149.0,149.0,
DERA,60.5,94.0,112.0,88.83333333333333,26.135862972806795
DERL1,83.5,80.0,129.0,97.5,27.33587386567329
DERL2,86.0,84.5,133.0,101.16666666666667,27.57867533681292
DESI1,100.5,,,100.5,
DESI2,73.0,,119.0,96.0,32.526911934581186
DFFA,93.5,93.5,99.5,95.5,3.4641016151377544
DFNA5,80.0,,,80.0,
DGAT2,108.5,,70.0,89.25,27.22361107568208
DGCR14,120.0,,,120.0,
DGCR6L,76.0,124.0,107.0,102.33333333333333,24.33789911502908
DGKH,,,227.0,227.0,
DGUOK,106.0,131.0,129.5,122.16666666666667,14.020817855365404
DHCR24,107.0,92.5,110.0,103.16666666666667,9.358596760910972
DHCR7,88.0,89.0,106.0,94.33333333333333,10.115993936995679
DHDDS,61.0,110.0,,85.5,34.64823227814083
DHFRP1,99.0,,,99.0,
DHODH,110.5,138.5,,124.5,19.79898987322333
DHPS,98.0,140.5,122.0,120.16666666666667,21.30923117649563
DHRS1,88.0,147.5,188.0,141.16666666666666,50.299933730903994
DHRS11,80.0,,,80.0,
DHRS3,109.5,140.0,121.0,123.5,15.402921800749363
DHRS4L2,92.0,,,92.0,
DHRS7,72.0,72.0,95.0,79.66666666666667,13.279056191361393
DHRS7B,110.0,149.0,112.0,123.66666666666667,21.96208854670551
DHTKD1,59.0,164.0,,111.5,74.24621202458749
DHX15,91.0,138.0,136.0,121.66666666666667,26.576932353703526
DHX16,103.0,,,103.0,
DHX30,99.0,,,99.0,
DHX32,112.5,,134.0,123.25,15.202795795510772
DHX35,141.0,,,141.0,
DHX36,,,204.5,204.5,
DHX40,,,133.0,133.0,
DHX57,,,85.0,85.0,
DHX8,,121.0,,121.0,
DHX9,,115.0,178.0,146.5,44.54772721475249
DIAPH1,93.0,102.0,150.5,115.16666666666667,30.928681403081725
DIAPH2,,108.0,,108.0,
DICER1,,,151.5,151.5,
DICER1-AS1,,,286.5,286.5,
DIDO1,,148.5,167.0,157.75,13.08147545195113
DIEXF,102.0,,,102.0,
DIMT1,91.0,,,91.0,
DIO1,,,137.5,137.5,
DIP2B,,,97.0,97.0,
DIP2C,,,122.5,122.5,
DKC1,77.0,103.0,111.5,97.16666666666667,17.97451900144572
DKK1,77.5,,91.0,84.25,9.545941546018392
DLAT,66.0,76.0,113.5,85.16666666666667,25.041632002194532
DLD,77.5,105.0,112.0,98.16666666666667,18.236867421060378
DLEU2,,,199.0,199.0,
DLG1,,,198.0,198.0,
DLG3,65.5,102.5,197.0,121.66666666666667,67.81285522180387
DLG5,,,222.0,222.0,
DLGAP1-AS1,79.0,,,79.0,
DLGAP4,,87.0,110.0,98.5,16.263455967290593
DLGAP5,,92.0,205.0,148.5,79.90306627407988
DLK1,,,110.0,110.0,
DLL3,119.0,,,119.0,
DMAP1,87.0,174.0,127.0,129.33333333333334,43.54690957270485
DMD,,,168.0,168.0,
DMKN,88.0,154.0,161.0,134.33333333333334,40.2781992315115
DMTF1,,173.0,206.0,189.5,23.33452377915607
DMXL2,,,215.0,215.0,
DNA2,,,155.0,155.0,
DNAAF5,77.5,,,77.5,
DNAH17-AS1,89.5,,,89.5,
DNAJA1,79.0,112.5,115.0,102.16666666666667,20.101824129499626
DNAJA2,110.5,121.0,171.0,134.16666666666666,32.32774865859566
DNAJA3,97.0,,,97.0,
DNAJA4,114.0,,,114.0,
DNAJB1,99.0,118.0,118.0,111.66666666666667,10.96965511460289
DNAJB11,66.0,128.5,143.0,112.5,40.91760012512953
DNAJB12,82.0,77.5,126.0,95.16666666666667,26.797076955021293
DNAJB4,,,179.0,179.0,
DNAJB6,73.0,110.0,127.0,103.33333333333333,27.610384519838423
DNAJB9,,,113.5,113.5,
DNAJC10,,106.0,159.0,132.5,37.476659402887016
DNAJC11,100.5,129.5,112.0,114.0,14.603081866510234
DNAJC12,65.5,,,65.5,
DNAJC13,,,256.5,256.5,
DNAJC15,56.5,105.0,168.5,110.0,56.167161224331075
DNAJC17,98.0,,,98.0,
DNAJC19,82.0,147.0,152.0,127.0,39.05124837953327
DNAJC2,,,80.0,80.0,
DNAJC25,,,210.5,210.5,
DNAJC7,74.0,101.0,72.0,82.33333333333333,16.19670748434179
DNAJC8,71.0,112.0,107.0,96.66666666666667,22.368132093076824
DNAJC9,83.0,103.5,148.0,111.5,33.23025729662652
DNALI1,,115.0,87.0,101.0,19.79898987322333
DNASE1L1,99.0,,,99.0,
DNASE2,93.0,113.0,,103.0,14.142135623730951
DNER,111.5,,,111.5,
DNM1L,,91.0,198.0,144.5,75.66042558696059
DNMT1,112.0,,,112.0,
DNMT3B,,135.0,,135.0,
DNPEP,72.5,85.5,117.0,91.66666666666667,22.881943390659224
DNPH1,76.5,,,76.5,
DNTTIP1,75.0,,,75.0,
DNTTIP2,,65.0,94.0,79.5,20.506096654409877
DOCK1,,,166.5,166.5,
DOCK7,,,162.0,162.0,
DOK4,119.0,,128.0,123.5,6.363961030678928
DOLK,71.0,,122.0,96.5,36.062445840513924
DPAGT1,96.5,123.0,106.5,108.66666666666667,13.382202110763883
DPCD,65.5,93.0,98.0,85.5,17.5
DPEP1,,,80.5,80.5,
DPF2,91.0,122.0,154.0,122.33333333333333,31.50132272355136
DPH2,127.0,125.0,96.0,116.0,17.349351572897472
DPH3,62.0,117.0,84.0,87.66666666666667,27.682726262659415
DPH5,86.5,122.5,115.0,108.0,18.993419913222578
DPH6,109.0,86.5,,97.75,15.90990257669732
DPM1,,,111.0,111.0,
DPM2,90.5,,102.0,96.25,8.131727983645296
DPM3,93.0,,,93.0,
DPP4,,,111.0,111.0,
DPP7,87.0,,119.0,103.0,22.627416997969522
DPPA2,,69.0,,69.0,
DPPA4,,128.0,,128.0,
DPY19L1,,,185.0,185.0,
DPY19L3,,,147.0,147.0,
DPY19L4,,,204.0,204.0,
DPY30,65.5,125.5,132.0,107.66666666666667,36.661742093541235
DPYSL2,,,156.5,156.5,
DPYSL3,,130.0,169.5,149.75,27.93071785686863
DR1,65.0,,142.0,103.5,54.44722215136416
DRAM1,111.0,,156.0,133.5,31.81980515339464
DRAM2,62.0,93.0,93.0,82.66666666666667,17.8978583448784
DRG1,72.0,89.0,92.5,84.5,10.965856099730654
DRG2,88.0,109.0,126.0,107.66666666666667,19.03505538035898
DROSHA,,,150.0,150.0,
DSC2,,,195.0,195.0,
DSCR3,71.0,130.0,134.5,111.83333333333333,35.43421134064272
DSE,,93.5,129.0,111.25,25.102290732122437
DSG2,,95.5,139.0,117.25,30.759144981614817
DSN1,67.0,,,67.0,
DSP,,101.0,91.0,96.0,7.0710678118654755
DST,,,206.0,206.0,
DSTN,79.0,106.0,122.5,102.5,21.96019125599775
DTD1,52.0,102.0,77.0,77.0,25.0
DTL,90.5,,,90.5,
DTWD1,63.0,120.0,116.0,99.66666666666667,31.817186131607134
DTX4,,,143.0,143.0,
DTYMK,82.5,85.5,119.0,95.66666666666667,20.262856001396578
DUSP1,108.0,,,108.0,
DUSP11,84.5,110.0,106.5,100.33333333333333,13.823289526495975
DUSP12,85.0,,122.0,103.5,26.16295090390226
DUSP14,102.5,97.0,114.5,104.66666666666667,8.9489291724392
DUSP2,118.5,,,118.5,
DUSP23,99.0,,,99.0,
DUSP3,75.0,143.0,133.0,117.0,36.71511950137164
DUSP5,111.5,,,111.5,
DUT,71.0,96.0,164.5,110.5,48.40712757435624
DVL2,122.0,,,122.0,
DVL3,,,250.0,250.0,
DXO,77.0,,,77.0,
DYM,44.5,,99.0,71.75,38.53731957466684
DYNC1H1,87.0,118.0,148.0,117.66666666666667,30.501366089625122
DYNC1I2,94.0,94.0,119.0,102.33333333333333,14.433756729740644
DYNC1LI1,82.0,119.0,189.5,130.16666666666666,54.613032632635715
DYNC1LI2,124.0,,147.0,135.5,16.263455967290593
DYNC2H1,,,193.0,193.0,
DYNC2LI1,,,93.0,93.0,
DYNLL1,79.0,114.5,97.5,97.0,17.755280904564703
DYNLRB1,86.0,100.0,102.0,96.0,8.717797887081348
DYNLT1,82.0,113.0,130.0,108.33333333333333,24.33789911502908
DYNLT3,,,125.5,125.5,
DYRK1A,,,175.0,175.0,
DZIP1,,,168.0,168.0,
DZIP3,,,276.5,276.5,
E2F1,119.0,,,119.0,
E2F4,103.0,128.5,144.0,125.16666666666667,20.70225430559033
E2F5,,,105.5,105.5,
EAPP,82.0,123.5,122.5,109.33333333333333,23.676641090605173
EARS2,103.5,126.0,,114.75,15.90990257669732
EBLN3,,102.0,91.0,96.5,7.7781745930520225
EBNA1BP2,56.0,73.0,70.5,66.5,9.17877987534291
EBP,101.0,107.5,129.0,112.5,14.654350889752845
EBPL,77.0,98.0,98.0,91.0,12.12435565298214
ECD,74.0,99.0,126.0,99.66666666666667,26.00640946638604
ECE2,94.0,99.0,,96.5,3.5355339059327378
ECEL1P1,,340.0,,340.0,
ECH1,81.0,,,81.0,
ECHDC1,,86.5,158.5,122.5,50.91168824543142
ECHS1,78.0,98.0,99.0,91.66666666666667,11.846237095944574
ECI1,80.0,,,80.0,
ECI2,91.0,106.5,111.5,103.0,10.688779163215974
ECSIT,96.0,,95.0,95.5,0.7071067811865476
ECT2,92.0,107.0,190.0,129.66666666666666,52.78573039499722
EDC3,102.5,127.0,106.0,111.83333333333333,13.250786140200638
EDEM2,95.0,129.0,117.0,113.66666666666667,17.243356208503418
EDEM3,,,185.5,185.5,
EDF1,74.5,111.0,103.0,96.16666666666667,19.185497995447847
EDIL3,,143.5,,143.5,
EDNRA,,,123.5,123.5,
EDNRB,,,134.0,134.0,
EEA1,,,209.5,209.5,
EED,90.0,,168.0,129.0,55.154328932550705
EEF1A1,71.0,107.0,85.0,87.66666666666667,18.14754345175493
EEF1A1P5,47.0,75.0,57.0,59.666666666666664,14.189197769195175
EEF1A1P6,41.0,,72.0,56.5,21.920310216782973
EEF1B2,71.5,86.0,77.0,78.16666666666667,7.32006375199925
EEF1D,69.0,98.0,94.0,87.0,15.716233645501712
EEF2,105.5,116.0,106.0,109.16666666666667,5.923118547972287
EEF2KMT,93.5,,,93.5,
EFCAB14,,,143.0,143.0,
EFEMP1,77.0,103.0,80.5,86.83333333333333,14.10968934219791
EFEMP2,,,140.0,140.0,
EFHC1,89.0,,142.0,115.5,37.476659402887016
EFHD2,104.5,,,104.5,
EFNA1,102.0,,171.0,136.5,48.79036790187178
EFNB2,,,145.0,145.0,
EFNB3,,,118.0,118.0,
EFR3B,,,252.0,252.0,
EFTUD1,68.0,,,68.0,
EFTUD2,109.0,139.0,98.5,115.5,21.017849556983702
EGFL7,80.0,,,80.0,
EGFLAM,,,144.0,144.0,
EGLN1,,,107.0,107.0,
EGLN3,94.0,,,94.0,
EHBP1,,,137.0,137.0,
EHMT2,79.0,,,79.0,
EI24,81.0,92.5,78.0,83.83333333333333,7.653975002136689
EID1,84.0,,91.0,87.5,4.949747468305833
EIF1,99.0,114.0,133.0,115.33333333333333,17.03917055884274
EIF1AD,127.0,,,127.0,
EIF1AX,142.0,156.0,136.0,144.66666666666666,10.263202878893768
EIF1B,100.0,116.0,117.0,111.0,9.539392014169456
EIF2A,45.0,82.5,123.0,83.5,39.009614199579055
EIF2AK1,93.0,103.0,120.0,105.33333333333333,13.650396819628847
EIF2AK2,,,103.0,103.0,
EIF2AK4,,122.0,162.0,142.0,28.284271247461902
EIF2B1,78.0,151.0,128.0,119.0,37.322915213043046
EIF2B2,80.5,83.0,90.0,84.5,4.924428900898052
EIF2B3,88.0,93.0,101.0,94.0,6.557438524302
EIF2B4,76.0,100.5,137.0,104.5,30.696090956341656
EIF2B5,120.0,84.0,141.0,115.0,28.827070610799147
EIF2D,73.0,106.0,89.5,89.5,16.5
EIF2S1,65.0,80.0,99.0,81.33333333333333,17.03917055884274
EIF2S2,73.0,88.0,108.0,89.66666666666667,17.55942292142123
EIF2S3,108.0,136.0,160.0,134.66666666666666,26.025628394590846
EIF3A,87.0,120.0,119.0,108.66666666666667,18.77054430040145
EIF3B,91.0,110.5,114.5,105.33333333333333,12.573119475028198
EIF3D,83.0,93.0,97.0,91.0,7.211102550927978
EIF3E,65.0,97.0,80.0,80.66666666666667,16.010413278030438
EIF3F,74.0,101.0,75.0,83.33333333333333,15.307950004273378
EIF3FP3,61.0,97.0,47.5,68.5,25.588083163847973
EIF3G,83.0,80.0,114.0,92.33333333333333,18.823743871327334
EIF3H,62.0,96.0,84.0,80.66666666666667,17.243356208503418
EIF3I,77.0,88.0,102.0,89.0,12.529964086141668
EIF3J,65.0,176.0,,120.5,78.48885271170677
EIF3K,74.0,88.0,76.0,79.33333333333333,7.571877794400366
EIF3M,67.0,87.0,105.5,86.5,19.254869513969705
EIF4A2,104.0,141.0,149.0,131.33333333333334,24.00694344004112
EIF4A3,88.0,119.5,105.0,104.16666666666667,15.766525721709693
EIF4B,83.0,118.0,105.0,102.0,17.69180601295413
EIF4E,69.0,114.0,123.0,102.0,28.930952282978865
EIF4E2,99.0,93.0,116.5,102.83333333333333,12.209968604928243
EIF4EBP1,95.0,112.5,139.0,115.5,22.15287791687572
EIF4EBP2,115.0,91.0,99.0,101.66666666666667,12.220201853215574
EIF4ENIF1,,,122.5,122.5,
EIF4EP2,,96.5,120.0,108.25,16.617009357883866
EIF4G1,115.0,,,115.0,
EIF4G2,101.0,123.5,150.5,125.0,24.78406746278746
EIF4G3,,80.0,153.5,116.75,51.97234841721124
EIF4H,81.0,70.0,88.0,79.66666666666667,9.073771725877467
EIF5,98.0,118.0,137.0,117.66666666666667,19.5021366350801
EIF5A,99.0,99.0,113.5,103.83333333333333,8.371578903249574
EIF5B,,81.5,106.0,93.75,17.324116139070416
ELAC2,129.0,,,129.0,
ELAVL1,105.0,,,105.0,
ELAVL4,,,122.0,122.0,
ELFN1-AS1,127.5,,,127.5,
ELK3,,,132.0,132.0,
ELMO2,105.0,,170.0,137.5,45.96194077712559
ELMOD2,,77.0,141.0,109.0,45.254833995939045
ELOF1,92.0,132.0,121.0,115.0,20.663978319771825
ELOVL1,85.0,,87.0,86.0,1.4142135623730951
ELOVL5,101.0,96.0,129.0,108.66666666666667,17.7857620959388
ELOVL6,,113.0,104.0,108.5,6.363961030678928
ELP2,85.0,114.5,124.0,107.83333333333333,20.33674834710144
ELP3,111.5,57.5,112.5,93.83333333333333,31.46956201368766
ELP4,94.0,108.0,103.0,101.66666666666667,7.094598884597588
ELP5,100.5,135.0,159.0,131.5,29.406631905065225
ELP6,79.0,108.5,125.0,104.16666666666667,23.304148414677872
EMC1,96.0,149.0,,122.5,37.476659402887016
EMC10,143.0,,,143.0,
EMC2,,102.0,92.0,97.0,7.0710678118654755
EMC3,89.0,79.5,125.0,97.83333333333333,24.001736048322282
EMC4,69.0,92.0,104.5,88.5,18.006943105369107
EMC6,99.0,,,99.0,
EMC7,71.0,112.0,122.0,101.66666666666667,27.02468007827906
EMC8,71.5,,,71.5,
EMC9,111.0,,,111.0,
EMD,63.5,,,63.5,
EME1,104.0,,,104.0,
EML2,106.0,,,106.0,
EML2-AS1,71.0,,,71.0,
EML4,,,163.0,163.0,
EMP2,86.0,,,86.0,
EMP3,81.5,,,81.5,
ENAH,,109.5,128.0,118.75,13.08147545195113
ENC1,,,161.0,161.0,
ENDOV,96.0,,,96.0,
ENG,142.0,,,142.0,
ENO1,76.0,87.0,80.5,81.16666666666667,5.530220007679019
ENO2,82.0,147.5,165.0,131.5,43.752142804667294
ENO3,69.0,136.0,112.0,105.66666666666667,33.946035605550954
ENOPH1,95.0,86.0,135.0,105.33333333333333,26.083200212652844
ENOSF1,65.0,107.0,153.0,108.33333333333333,44.01514890731751
ENPP2,,,189.5,189.5,
ENSA,102.0,118.0,168.0,129.33333333333334,34.42867022313429
ENTPD3-AS1,92.0,,,92.0,
ENTPD4,,,153.5,153.5,
ENTPD6,,170.0,,170.0,
ENY2,94.0,135.0,167.0,132.0,36.59234892706397
EP400,,,208.5,208.5,
EPAS1,134.0,,,134.0,
EPB41L2,,,177.0,177.0,
EPB41L3,,,107.5,107.5,
EPB41L4A-AS1,95.0,,,95.0,
EPB41L5,,145.5,181.0,163.25,25.102290732122437
EPCAM,,113.0,122.0,117.5,6.363961030678928
EPDR1,76.5,,,76.5,
EPHA1,,139.0,,139.0,
EPHA2,112.0,,,112.0,
EPHA7,,,121.0,121.0,
EPHX2,,109.0,132.0,120.5,16.263455967290593
EPOR,133.5,,,133.5,
EPRS,57.0,101.0,131.0,96.33333333333333,37.22006627255429
EPS8,,,208.0,208.0,
EPSTI1,,,83.0,83.0,
EPT1,,,147.0,147.0,
ERAL1,109.0,114.5,120.0,114.5,5.5
ERBB2,,114.5,,114.5,
ERBB2IP,,,130.0,130.0,
ERBB3,,153.0,,153.0,
ERCC1,78.5,91.0,132.0,100.5,27.98660393831306
ERCC3,79.0,145.5,145.5,123.33333333333333,38.39379290111012
ERCC8,58.0,,142.0,100.0,59.39696961966999
ERGIC1,104.0,,,104.0,
ERGIC2,74.0,81.5,92.0,82.5,9.041570660012562
ERGIC3,77.0,115.0,107.0,99.66666666666667,20.033305601755625
ERH,85.0,117.5,135.5,112.66666666666667,25.594595783745703
ERI3,98.5,112.0,102.0,104.16666666666667,7.005949852327901
ERLEC1,68.0,111.5,139.5,106.33333333333333,36.02892356612023
ERLIN1,75.5,115.0,111.0,100.5,21.742814905158898
ERLIN2,93.0,,,93.0,
ERMP1,106.0,,,106.0,
ERO1A,79.0,,218.0,148.5,98.2878425849301
ERP27,,,87.0,87.0,
ERP29,109.0,110.0,109.0,109.33333333333333,0.5773502691896257
ERP44,64.0,94.0,110.5,89.5,23.574350468252568
ERRFI1,106.0,,,106.0,
ERVH48-1,,119.0,,119.0,
ESD,62.5,99.0,96.0,85.83333333333333,20.262856001396578
ESRG,,117.0,,117.0,
ESRP1,,122.5,,122.5,
ESYT1,87.0,92.0,84.5,87.83333333333333,3.8188130791298667
ESYT2,,165.0,239.0,202.0,52.32590180780452
ETF1,81.5,164.0,136.0,127.16666666666667,41.953347105246955
ETFA,65.5,103.0,115.0,94.5,25.821502667350714
ETHE1,76.0,114.5,115.5,102.0,22.522211259110417
ETNK1,,,211.0,211.0,
ETNK2,,,137.0,137.0,
ETS1,,,125.0,125.0,
ETS2,97.5,,143.0,120.25,32.17335854398791
ETV3,,,142.0,142.0,
ETV4,,173.5,,173.5,
EVA1C,95.0,,,95.0,
EVL,,,261.5,261.5,
EWSR1,80.0,113.0,149.0,114.0,34.51086785347479
EXO1,87.5,,,87.5,
EXO5,85.5,,,85.5,
EXOC1,,,221.0,221.0,
EXOC3,109.0,,,109.0,
EXOC4,115.0,120.5,,117.75,3.8890872965260113
EXOC5,,,245.0,245.0,
EXOC7,79.0,80.0,91.0,83.33333333333333,6.6583281184793925
EXOSC1,80.0,85.0,179.0,114.66666666666667,55.77036249956901
EXOSC10,79.0,117.0,154.0,116.66666666666667,37.50111109465069
EXOSC2,91.0,96.0,119.0,102.0,14.933184523068078
EXOSC4,95.5,,,95.5,
EXOSC5,96.0,115.5,57.0,89.5,29.78674201721296
EXOSC8,76.0,112.5,125.0,104.5,25.46075411294803
EXOSC9,79.0,78.0,149.0,102.0,40.70626487409524
EXT2,124.5,136.0,139.0,133.16666666666666,7.653975002136689
EXTL2,,87.0,195.0,141.0,76.36753236814714
EZH2,105.0,,242.0,173.5,96.87362902255701
EZR,106.5,118.0,130.5,118.33333333333333,12.003471720020558
F10,,,124.0,124.0,
F11R,,132.0,,132.0,
F12,49.0,,,49.0,
F2,,,124.5,124.5,
F2R,,,101.5,101.5,
F2RL1,,86.5,,86.5,
FAAH2,76.0,,,76.0,
FAAHP1,102.0,,,102.0,
FAAP24,69.5,,,69.5,
FABP1,,,132.0,132.0,
FABP3,,135.0,,135.0,
FABP5,,136.0,107.0,121.5,20.506096654409877
FABP5P7,,90.0,105.0,97.5,10.606601717798213
FADS1,74.0,93.5,92.0,86.5,10.851267207105353
FAF1,107.0,,,107.0,
FAF2,79.0,126.5,112.0,105.83333333333333,24.3430345958209
FAH,76.0,,83.5,79.75,5.303300858899107
FAHD1,70.0,,112.0,91.0,29.698484809834994
FAHD2A,68.5,98.5,82.0,83.0,15.02497920131672
FAHD2B,81.0,112.0,97.0,96.66666666666667,15.50268793897798
FAHD2CP,66.0,,128.0,97.0,43.840620433565945
FAM102B,,160.0,111.0,135.5,34.64823227814083
FAM103A1,62.0,,,62.0,
FAM104A,93.5,,,93.5,
FAM104B,90.0,,90.0,90.0,0.0
FAM107B,,,137.0,137.0,
FAM109B,126.0,,,126.0,
FAM114A1,,,137.5,137.5,
FAM118A,,,251.0,251.0,
FAM118B,99.0,101.5,113.5,104.66666666666667,7.75134396948899
FAM120A,72.0,,196.0,134.0,87.68124086713189
FAM120AOS,69.5,,161.0,115.25,64.7002704785691
FAM120B,,,268.0,268.0,
FAM122B,74.0,,223.5,148.75,105.71246378738886
FAM122C,66.0,,,66.0,
FAM126A,,96.0,168.0,132.0,50.91168824543142
FAM127A,105.5,,132.5,119.0,19.091883092036785
FAM127B,114.5,104.0,114.5,111.0,6.06217782649107
FAM127C,,,96.0,96.0,
FAM133B,,108.5,192.0,150.25,59.04341622907672
FAM134A,97.0,,,97.0,
FAM136A,72.5,97.5,103.0,91.0,16.25576820700886
FAM13B,,,244.0,244.0,
FAM160B1,,,104.0,104.0,
FAM162A,73.0,121.0,124.0,106.0,28.61817604250837
FAM168A,,,157.0,157.0,
FAM168B,,,152.5,152.5,
FAM171A1,,,142.0,142.0,
FAM177A1,63.0,,154.0,108.5,64.34671708797582
FAM188A,,,168.5,168.5,
FAM192A,90.0,108.0,96.0,98.0,9.16515138991168
FAM195A,73.0,,,73.0,
FAM198B,,,123.0,123.0,
FAM200B,,100.0,207.0,153.5,75.66042558696059
FAM204A,81.5,,125.0,103.25,30.759144981614817
FAM206A,78.5,,121.0,99.75,30.05203820042827
FAM208A,,,188.0,188.0,
FAM208B,,,115.0,115.0,
FAM20B,,110.0,143.0,126.5,23.33452377915607
FAM210B,,,140.0,140.0,
FAM213A,68.0,86.0,102.0,85.33333333333333,17.009801096230767
FAM214B,,,197.0,197.0,
FAM216A,99.0,,,99.0,
FAM219B,115.0,,240.0,177.5,88.38834764831844
FAM21A,,115.0,,115.0,
FAM220A,113.0,,,113.0,
FAM221A,,114.0,,114.0,
FAM229B,94.0,,109.0,101.5,10.606601717798213
FAM234A,157.0,156.0,,156.5,0.7071067811865476
FAM32A,76.0,93.5,106.0,91.83333333333333,15.06928443335427
FAM3C,,,202.0,202.0,
FAM45A,91.0,,111.0,101.0,14.142135623730951
FAM46A,167.0,,140.0,153.5,19.091883092036785
FAM49B,97.0,99.0,115.0,103.66666666666667,9.865765724632496
FAM50A,81.0,,89.0,85.0,5.656854249492381
FAM53C,147.5,126.0,169.5,147.66666666666666,21.75047892193028
FAM58A,105.0,,,105.0,
FAM64A,87.0,103.0,125.5,105.16666666666667,19.34123401785246
FAM65A,131.0,,,131.0,
FAM76B,,,232.5,232.5,
FAM81A,117.0,,,117.0,
FAM83A,107.5,,,107.5,
FAM83D,91.0,,,91.0,
FAM84B,,,148.0,148.0,
FAM86C1,111.0,,,111.0,
FAM86C2P,82.0,,,82.0,
FAM86JP,95.0,,,95.0,
FAM8A1,,,147.0,147.0,
FAM91A1,,,131.0,131.0,
FAM92A1,,109.0,101.0,105.0,5.656854249492381
FAM96A,69.0,119.0,133.5,107.16666666666667,33.83907997173288
FAM96B,86.0,132.5,117.0,111.83333333333333,23.676641090605173
FANCA,93.0,,,93.0,
FANCE,83.0,,,83.0,
FANCF,,125.0,,125.0,
FANCG,88.5,,156.5,122.5,48.08326112068523
FANCI,129.5,,211.0,170.25,57.62920266670363
FANCL,66.5,154.0,140.0,120.16666666666667,47.00088651646194
FAR1,,101.0,275.0,188.0,123.03657992645927
FARP1,,145.0,187.5,166.25,30.05203820042827
FARS2,66.0,,84.5,75.25,13.08147545195113
FARSA,83.0,86.5,112.0,93.83333333333333,15.829824172533733
FARSB,78.5,104.0,131.0,104.5,26.253571185650152
FASTK,102.5,,,102.5,
FASTKD1,,143.0,,143.0,
FASTKD2,,98.0,102.0,100.0,2.8284271247461903
FASTKD3,116.0,,149.0,132.5,23.33452377915607
FAT1,,116.0,178.0,147.0,43.840620433565945
FAT4,,,107.0,107.0,
FAU,89.0,,,89.0,
FAXDC2,,,149.0,149.0,
FBL,72.0,66.0,122.0,86.66666666666667,30.74627348693388
FBLN1,110.0,106.0,109.0,108.33333333333333,2.0816659994661326
FBLN2,,,142.0,142.0,
FBN1,,,137.0,137.0,
FBN2,,118.0,164.0,141.0,32.526911934581186
FBXL15,120.5,,,120.5,
FBXL2,,,157.0,157.0,
FBXL5,102.0,95.0,123.5,106.83333333333333,14.852048119142804
FBXO11,,,187.5,187.5,
FBXO18,,,226.0,226.0,
FBXO21,,,129.0,129.0,
FBXO22,64.5,94.5,81.0,80.0,15.02497920131672
FBXO25,113.0,,,113.0,
FBXO3,,,115.0,115.0,
FBXO4,82.0,,,82.0,
FBXO42,,,125.5,125.5,
FBXO5,,,128.0,128.0,
FBXO6,81.5,,96.0,88.75,10.253048327204938
FBXO7,80.0,97.0,106.0,94.33333333333333,13.203534880225574
FBXO8,84.0,,93.0,88.5,6.363961030678928
FBXW2,,,148.0,148.0,
FBXW4,,118.0,,118.0,
FBXW5,85.5,,,85.5,
FBXW9,86.0,110.0,,98.0,16.97056274847714
FCGRT,,,103.0,103.0,
FDFT1,95.0,92.5,118.0,101.83333333333333,14.056433876817168
FDPS,86.0,98.0,133.5,105.83333333333333,24.699865046864797
FDXR,67.0,,,67.0,
FECH,71.0,,,71.0,
FEM1B,,,138.0,138.0,
FEN1,78.0,,,78.0,
FERMT2,75.0,115.0,148.0,112.66666666666667,36.555893277737496
FETUB,,,84.0,84.0,
FEZ1,,120.0,91.5,105.75,20.152543263816604
FEZ2,50.0,,124.0,87.0,52.32590180780452
FGA,,,102.0,102.0,
FGB,,,91.0,91.0,
FGD5-AS1,89.0,,150.0,119.5,43.1335136523794
FGF13,,,111.0,111.0,
FGF2,,183.0,,183.0,
FGFBP1,98.0,,,98.0,
FGFBP3,,194.0,,194.0,
FGFR1,,144.0,152.5,148.25,6.010407640085654
FGFR1OP2,,,245.5,245.5,
FGFR2,,143.0,187.5,165.25,31.466251762801363
FGG,68.0,,86.0,77.0,12.727922061357855
FGGY,52.0,,,52.0,
FH,64.0,110.0,120.5,98.16666666666667,30.051344950489877
FHL1,91.0,,117.0,104.0,18.384776310850235
FHL2,80.5,,,80.5,
FHL3,99.0,,,99.0,
FIBCD1,102.5,,,102.5,
FIBP,80.0,94.0,89.0,87.66666666666667,7.094598884597588
FIG4,100.0,115.0,112.0,109.0,7.937253933193772
FIGF,,,107.0,107.0,
FIGN,,,170.0,170.0,
FIS1,79.0,111.0,77.0,89.0,19.078784028338912
FKBP2,52.0,,,52.0,
FKBP3,83.0,113.0,108.0,101.33333333333333,16.072751268321593
FKBP4,80.0,78.5,92.0,83.5,7.399324293474371
FKBP5,78.0,,,78.0,
FKBP7,,,123.0,123.0,
FKBP9,107.5,,,107.5,
