,UNIPROT_ID,cell_line,half-life t1/2 in h,kdeg,HGNC_ID,Study
13495,Q6XSF4,HeLA,37.33431876432421,0.018565952279335555,,Cambridge 2011
13496,Q6XYB5,HeLA,23.630413471578716,0.02933284182240917,,Cambridge 2011
13497,Q6XYC5,HeLA,17.480226145511068,0.039653215856017165,,Cambridge 2011
13498,Q6XZF7-1,HeLA,26.509058544160503,0.026147559310914642,,Cambridge 2011
13499,Q6XZF7-2,HeLA,26.509058544160503,0.026147559310914642,,Cambridge 2011
13500,Q6Y7W6-1,HeLA,24.067774898029423,0.028799803201445828,,Cambridge 2011
13501,Q6Y7W6-2,HeLA,24.067774898029423,0.028799803201445828,,Cambridge 2011
13502,Q6Y7W6-3,HeLA,24.067774898029423,0.028799803201445828,,Cambridge 2011
13503,Q6YHK3-1,HeLA,25.344382996835872,0.02734914401532211,,Cambridge 2011
13504,Q6YHK3-2,HeLA,25.344382996835872,0.02734914401532211,,Cambridge 2011
13505,Q6YHK3-3,HeLA,25.344382996835872,0.02734914401532211,,Cambridge 2011
13506,Q6YHK3-4,HeLA,25.344382996835872,0.02734914401532211,,Cambridge 2011
13507,Q6YHU3,HeLA,29.46707355211767,0.023522769552734624,,Cambridge 2011
13508,Q6YHU4,HeLA,29.46707355211767,0.023522769552734624,,Cambridge 2011
13509,Q6YHU5,HeLA,29.46707355211767,0.023522769552734624,,Cambridge 2011
13510,Q6YL38,HeLA,41.289979955478046,0.016787297579396954,,Cambridge 2011
13511,Q6YP21-1,HeLA,39.76477799117406,0.017431184469677962,,Cambridge 2011
13512,Q6YPB0,HeLA,29.34309174131962,0.023622159064577597,,Cambridge 2011
13513,Q6ZME1,HeLA,42.16088372866167,0.016440527789239205,HGNC:23377,Cambridge 2011
13514,Q6ZME4,HeLA,18.72428937807688,0.037018610776839884,HGNC:20296,Cambridge 2011
13515,Q6ZME7,HeLA,33.20348344054879,0.020875736782287713,,Cambridge 2011
13516,Q6ZMF1,HeLA,16.076047445954057,0.043116766287872164,,Cambridge 2011
13517,Q6ZMF6,HeLA,16.315949886583955,0.042482796611792516,,Cambridge 2011
13518,Q6ZMF8,HeLA,54.7047602074347,0.012670692238328146,,Cambridge 2011
13519,Q6ZMG4,HeLA,16.315949886583955,0.042482796611792516,,Cambridge 2011
13520,Q6ZMG7,HeLA,32.37297476936376,0.02141129091466462,HGNC:24215,Cambridge 2011
13521,Q6ZMJ6,HeLA,42.8960700291868,0.01615875720289348,,Cambridge 2011
13522,Q6ZMM9,HeLA,29.62846907112248,0.02339463368478678,,Cambridge 2011
13523,Q6ZMP1,HeLA,11.884197823731212,0.058325112964361776,HGNC:4512,Cambridge 2011
13524,Q6ZMP3,HeLA,40.412232014004715,0.017151915299301896,,Cambridge 2011
13525,Q6ZMR1,HeLA,14.719423267873605,0.04709064804684284,HGNC:8777,Cambridge 2011
13526,Q6ZMS3,HeLA,56.768291934762054,0.012210111612244876,,Cambridge 2011
13527,Q6ZMU4,HeLA,19.692304863458606,0.03519888531921734,,Cambridge 2011
13528,Q6ZMW7,HeLA,22.37582715679789,0.030977499768063934,HGNC:30228,Cambridge 2011
13529,Q6ZMX0,HeLA,30.977517299114854,0.022375814493686075,HGNC:16782,Cambridge 2011
13530,Q6ZMX7,HeLA,48.612659008835394,0.014258573686207232,HGNC:2962,Cambridge 2011
13531,Q6ZMY7,HeLA,68.02431645686006,0.01018969710632121,,Cambridge 2011
13532,Q6ZN33,HeLA,24.760896465328663,0.02799362218288508,HGNC:9311,Cambridge 2011
13533,Q6ZN34,HeLA,25.304408404298055,0.027392348775172767,,Cambridge 2011
13534,Q6ZN40,HeLA,16.11732922196411,0.04300633008199333,HGNC:12010,Cambridge 2011
13535,Q6ZN50,HeLA,40.62496997066732,0.017062097056574375,HGNC:8504,Cambridge 2011
13536,Q6ZN55-1,HeLA,15.218714066658265,0.04554571283249998,,Cambridge 2011
13537,Q6ZN55-2,HeLA,15.218714066658265,0.04554571283249998,,Cambridge 2011
13538,Q6ZNB1,HeLA,34.86097261573697,0.019883185366063028,,Cambridge 2011
13539,Q6ZNE4,HeLA,37.13175651774915,0.018667233806421674,HGNC:6229,Cambridge 2011
13540,Q6ZNF9,HeLA,27.226071410860584,0.025458949625888596,HGNC:7785,Cambridge 2011
13541,Q6ZNJ2,HeLA,30.475569427233914,0.022744355350437766,,Cambridge 2011
13542,Q6ZNJ9,HeLA,41.289979955478046,0.016787297579396954,,Cambridge 2011
13543,Q6ZNL7,HeLA,13.816109305482904,0.05016949165890507,HGNC:20153,Cambridge 2011
13544,Q6ZNZ8,HeLA,33.79879145149478,0.02050804631741619,,Cambridge 2011
13545,Q6ZP37,HeLA,45.6779653685828,0.015174650949682851,,Cambridge 2011
13546,Q6ZP53,HeLA,40.19894969186553,0.017242917684991338,,Cambridge 2011
13547,Q6ZP56,HeLA,45.87062605287577,0.015110916074285621,,Cambridge 2011
13548,Q6ZP76,HeLA,16.11732922196411,0.04300633008199333,,Cambridge 2011
13549,Q6ZPD0,HeLA,30.96572251155702,0.02238433740085506,,Cambridge 2011
13550,Q6ZQN2,HeLA,36.00987044030364,0.019248810731186308,,Cambridge 2011
13551,Q6ZQU6,HeLA,25.938153545884088,0.026723073380446355,,Cambridge 2011
13552,Q6ZQU7,HeLA,25.017589470024756,0.027706393591215142,,Cambridge 2011
13553,Q6ZQY1,HeLA,37.64054944549947,0.018414906019466253,,Cambridge 2011
